estado,lat,lon,municipio,valor,variavel
Parana,-23.3113634407236,-50.30617559636987,Abatia,210.71808571650004,def
Parana,-25.88404703372891,-53.640828757245075,Bela Vista Da Caroba,87.52684103347332,def
Parana,-24.78198572393535,-48.81938139185752,Adrianopolis,54.04560791679118,def
Parana,-26.025500944348547,-49.30915503163259,Agudos Do Sul,33.17310849288169,def
Parana,-25.284879262939167,-49.32279352221987,Almirante Tamandare,35.327444279346224,def
Parana,-24.81271986316362,-52.69190706204459,Altamira Do Parana,99.58273285216283,def
Parana,-23.075624088388185,-52.32303483177894,Alto Parana,225.03835423418357,def
Parana,-24.09684947018157,-53.401071102162526,Alto Piquiri,180.224525621512,def
Parana,-23.876836349520453,-53.974932192088026,Altonia,218.6016405662605,def
Parana,-22.80922893558029,-51.25530154606044,Alvorada Do Sul,324.6007129438718,def
Parana,-23.126876710233294,-52.8333538472672,Amapora,254.53730706802423,def
Parana,-25.917283996956755,-53.48086809030535,Ampere,83.87358214484162,def
Parana,-24.687080113934048,-53.08655087063656,Anahy,116.10342217484008,def
Parana,-23.01718055051018,-50.27099665255532,Andira,305.856189892051,def
Parana,-23.19104998532254,-51.91753450172287,Angulo,189.7152970027248,def
Parana,-25.297100885708645,-48.7244665273992,Antonina,30.53581388005505,def
Parana,-25.96009381969834,-50.12756374361736,Antonio Olinto,44.79724716389089,def
Parana,-23.57170063598918,-51.44568867694088,Apucarana,132.3482875911405,def
Parana,-23.43956963527952,-51.43083876311044,Arapongas,143.86566402814424,def
Parana,-24.095755998577165,-49.97129056843969,Arapoti,127.10053563981998,def
Parana,-24.342889523651877,-51.81722970490522,Arapua,126.12755958461014,def
Parana,-23.95506448944045,-52.576466981472535,Araruna,140.9034103957153,def
Parana,-25.604969936681385,-49.44231491033618,Araucaria,49.318936059330525,def
Parana,-24.376993236989662,-51.53702162149531,Ariranha Do Ivai,108.58189551997413,def
Parana,-23.407406302644542,-50.87466862808969,Assai,194.61992468032932,def
Parana,-24.42580258623949,-53.58351313409039,Assis Chateaubriand,166.57194460495393,def
Parana,-23.249470863065923,-51.69896029598928,Astorga,177.75515223617532,def
Parana,-23.12802687944233,-52.0638700653777,Atalaia,202.86592189679223,def
Parana,-25.518045960709436,-49.69338755907608,Balsa Nova,46.42707286568788,def
Parana,-23.159503330307786,-50.34627106138839,Bandeirantes,277.41270055325043,def
Parana,-24.075758318247303,-52.03864893883746,Barbosa Ferraz,137.14625277245216,def
Parana,-23.10506013380549,-50.1593385850829,Barra Do Jacare,269.18255107125066,def
Parana,-26.241908430713966,-53.519212482667626,Barracao,73.1681622049023,def
Parana,-25.880407446406785,-53.63361857818678,Bela Vista Do Caroba,87.52684103347332,def
Parana,-23.00413808718452,-51.23480342228881,Bela Vista Do Paraiso,258.44648070664806,def
Parana,-26.170427998184792,-51.52454412973263,Bituruna,30.249280119415847,def
Parana,-24.255841644600213,-52.747322857525695,Boa Esperanca,136.57206465833946,def
Parana,-25.639586036122544,-53.225372443202986,Boa Esperanca Do Iguacu,76.5946340257171,def
Parana,-24.85672317507604,-51.56843653231792,Boa Ventura De Sao Roque,68.62223051711581,def
Parana,-25.43266098078551,-53.42118635347359,Boa Vista Da Aparecida,86.39190384064202,def
Parana,-25.114230004895,-48.93272682020478,Bocaiuva Do Sul,33.83248638458316,def
Parana,-26.159463843088123,-53.55884085619456,Bom Jesus Do Sul,77.10536343483841,def
Parana,-23.71266702285502,-51.82362800284434,Bom Sucesso,139.71564867424243,def
Parana,-26.084413561472672,-52.83758885653265,Bom Sucesso Do Sul,66.5846774509804,def
Parana,-23.938595016521305,-51.58983615401616,Borrazopolis,125.60554080546684,def
Parana,-24.805170453203203,-53.091972801765934,Braganey,97.09439292186336,def
Parana,-24.166286313334595,-53.5402438695913,Brasilandia Do Sul,196.25152502453392,def
Parana,-22.810681847610088,-51.71224159334099,Cafeara,284.7672575465639,def
Parana,-24.698163552252915,-53.36623365452108,Cafelandia,114.48938065568908,def
Parana,-23.981440242980877,-53.57535063961108,Cafezal Do Sul,227.0049580090577,def
Parana,-23.66737619258017,-51.33432332727234,California,125.57473875384188,def
Parana,-22.996351533747795,-50.08379603326436,Cambara,287.5043621728237,def
Parana,-23.180489859512114,-51.28425743320313,Cambe,204.88222428031187,def
Parana,-23.63104377381792,-51.56584125869474,Cambira,127.69987947658406,def
Parana,-24.60777679062426,-52.78275947275158,Campina Da Lagoa,120.16292490916427,def
Parana,-25.13060458649609,-51.78031643622133,Campina Do Simao,57.37593450411472,def
Parana,-25.18579286153949,-48.84433052479307,Campina Grande Do Sul,31.138217825237287,def
Parana,-24.931120798371616,-53.01374204441723,Campo Bonito,84.20237822349574,def
Parana,-25.97729785910995,-49.65590425492028,Campo Do Tenente,46.94258891949803,def
Parana,-25.29231922977588,-49.61967781933465,Campo Largo,42.19863920099876,def
Parana,-25.286641276869897,-49.46574350541317,Campo Magro,39.902882427307205,def
Parana,-24.104511030961483,-52.38005136675874,Campo Mourao,116.644535864979,def
Parana,-24.642279670996388,-51.25757478146409,Candido De Abreu,79.66163800671315,def
Parana,-25.521215911142423,-52.01984808182168,Candoi,59.37527853881281,def
Parana,-25.28627403458064,-52.132626865056906,Cantagalo,64.41207099268343,def
Parana,-25.609641770709448,-53.76193853124615,Capanema,96.0128106946124,def
Parana,-25.48368607949452,-53.58959506130368,Capitao Leonidas Marques,91.74342429652296,def
Parana,-24.89276250078533,-50.151090599312745,Carambei,53.20297528155623,def
Parana,-23.45859835220994,-49.71195941215549,Carlopolis,181.6679740721912,def
Parana,-25.03059492414602,-53.3811164505534,Cascavel,88.2029270764848,def
Parana,-24.798786564748468,-49.8414261016661,Castro,43.41400222515921,def
Parana,-25.243098645680288,-53.156368586127456,Catanduvas,72.1464365640668,def
Parana,-22.809870919748484,-51.56448307662657,Centenario Do Sul,299.0507891395643,def
Parana,-24.87500082181302,-49.27871513434264,Cerro Azul,62.58415248152058,def
Parana,-25.24225120804488,-53.76264470253064,Ceu Azul,93.62667226810066,def
Parana,-25.810745228939496,-52.45577030351382,Chopinzinho,64.02697773186411,def
Parana,-23.726894618385938,-52.62646477057447,Cianorte,159.89414988026482,def
Parana,-23.381304832844677,-52.95839369159364,Cidade Gaucha,220.6415180619266,def
Parana,-26.34412038857464,-52.35717733650711,Clevelandia,39.23193545810367,def
Parana,-25.315455270484502,-49.1766589642582,Colombo,34.8723438796066,def
Parana,-22.83539872000621,-51.96962767100713,Colorado,279.3718175970596,def
Parana,-23.604334400216025,-50.50400364428752,Congonhinhas,145.79930391216288,def
Parana,-23.592972298516298,-50.12680335282696,Conselheiro Mairinck,149.75006818855624,def
Parana,-25.723965479929227,-49.519246042687584,Contenda,52.3895678796361,def
Parana,-24.74487683797181,-53.23821444019202,Corbelia,104.78892295350698,def
Parana,-23.22709508868132,-50.62060276248493,Cornelio Procopio,254.94692904487,def
Parana,-26.18029936976928,-51.92457184630248,Coronel Domingos Soares,39.63764505160459,def
Parana,-25.99364659762484,-52.56281647951831,Coronel Vivida,62.02649673202612,def
Parana,-24.12944351515861,-52.143603470766536,Corumbatai Do Sul,127.4070819736972,def
Parana,-25.92205119008845,-51.23186226588281,Cruz Machado,31.65295319408445,def
Parana,-25.59487641702953,-53.12917203925363,Cruzeiro Do Iguacu,72.00206687638357,def
Parana,-23.75555186597149,-53.08421064348642,Cruzeiro Do Oeste,172.58484175133387,def
Parana,-22.987194495150863,-52.16186126220335,Cruzeiro Do Sul,241.8422752497225,def
Parana,-24.02093011012163,-51.47562183964224,Cruzmaltina,115.70562124624624,def
Parana,-25.475931521073555,-49.28904245544162,Curitiba,42.09795936241022,def
Parana,-24.0109366048826,-50.4655501844636,Curiuva,115.60649335924847,def
